"clip","duration_s","leading_silence_s","trailing_silence_s","start_flag","end_flag"
"clip-1","12.7","0","0","VERY_TIGHT_or_LATE","VERY_TIGHT_or_CHOPPED"
"clip-2","12.2","0","0","VERY_TIGHT_or_LATE","VERY_TIGHT_or_CHOPPED"
"clip-3","12.2","0","0","VERY_TIGHT_or_LATE","VERY_TIGHT_or_CHOPPED"
"clip-4","12.325","0","0","VERY_TIGHT_or_LATE","VERY_TIGHT_or_CHOPPED"
"clip-5","12.284","0","0","VERY_TIGHT_or_LATE","VERY_TIGHT_or_CHOPPED"
